# Wall shear stress    
# Time                 	patch                  	min                    	max                    
1                      	bottomWall	(-1.060733847190347e-02 -4.744183439539114e-03 -6.440262477953845e-17)	(1.466796966242270e-03 1.568459360502758e-04 1.276923254440586e-17)
1                      	topWall	(-4.193677879889910e-03 3.415872340316854e-05 -0.000000000000000e+00)	(-2.894920954157636e-03 1.001133919891270e-04 -0.000000000000000e+00)
2                      	bottomWall	(-1.049128453929557e-02 -4.758764683990628e-03 -5.747968401638385e-17)	(1.417092063761993e-03 1.475947924602394e-04 9.230610957259698e-18)
2                      	topWall	(-4.213096911930330e-03 3.873176170523267e-05 -0.000000000000000e+00)	(-2.903877561018670e-03 1.168330048832149e-04 -0.000000000000000e+00)
3                      	bottomWall	(-1.037502740044355e-02 -4.708625804193214e-03 -5.368342204746523e-17)	(1.415906619288482e-03 2.218850625184505e-04 7.159653605170907e-18)
3                      	topWall	(-4.233410282637267e-03 9.918761800027171e-06 -0.000000000000000e+00)	(-2.916810365769892e-03 4.918137469883792e-05 -0.000000000000000e+00)
4                      	bottomWall	(-1.028085819475035e-02 -4.620360840927769e-03 -5.392828602884782e-17)	(1.418656245499147e-03 3.213643777609156e-04 7.354624251859581e-18)
4                      	topWall	(-4.254742385881345e-03 -3.883000539231023e-05 0.000000000000000e+00)	(-2.927385740484376e-03 -2.301038596553232e-05 0.000000000000000e+00)
5                      	bottomWall	(-1.023711709506760e-02 -4.529259118442182e-03 -5.761869257779474e-17)	(1.423585786436967e-03 3.867294137461333e-04 9.326547007729645e-18)
5                      	topWall	(-4.270250665929448e-03 -8.900497690440961e-05 0.000000000000000e+00)	(-2.934471898574811e-03 -4.329323099197941e-05 0.000000000000000e+00)
6                      	bottomWall	(-1.023922854593793e-02 -4.460790707155211e-03 -6.118873896588935e-17)	(1.426875412513277e-03 3.938920788861962e-04 1.119806613853022e-17)
6                      	topWall	(-4.282170418070813e-03 -1.057948140498781e-04 0.000000000000000e+00)	(-2.939814484112453e-03 -4.540305861816798e-05 0.000000000000000e+00)
7                      	bottomWall	(-1.026232974109178e-02 -4.428381698432430e-03 -6.169164158997846e-17)	(1.428275600690170e-03 3.565253096168579e-04 1.154622089035160e-17)
7                      	topWall	(-4.293364001641578e-03 -9.742986557353161e-05 0.000000000000000e+00)	(-2.946398598296502e-03 -3.684351042753907e-05 0.000000000000000e+00)
8                      	bottomWall	(-1.028602952762938e-02 -4.429531588833940e-03 -6.077882317453069e-17)	(1.429514188595914e-03 3.068270829554641e-04 1.085125922921929e-17)
8                      	topWall	(-4.306567258686921e-03 -8.143802441999278e-05 0.000000000000000e+00)	(-2.953933528556807e-03 -2.598537662746270e-05 0.000000000000000e+00)
9                      	bottomWall	(-1.029714175686556e-02 -4.450097891158994e-03 -5.851983636556673e-17)	(1.429891979543983e-03 2.735337115454328e-04 9.525983448637399e-18)
9                      	topWall	(-4.320406460096244e-03 -6.923022565471457e-05 0.000000000000000e+00)	(-2.960466798389695e-03 -1.683335194114746e-05 0.000000000000000e+00)
10                     	bottomWall	(-1.029852062262857e-02 -4.475158391466208e-03 -5.681060116654389e-17)	(1.430919086301431e-03 2.691067432124097e-04 8.578508096816395e-18)
10                     	topWall	(-4.332938745037134e-03 -6.499658083141592e-05 0.000000000000000e+00)	(-2.965066151274949e-03 -1.256620408906269e-05 0.000000000000000e+00)
11                     	bottomWall	(-1.029736347488265e-02 -4.495233212511978e-03 -5.660599255319981e-17)	(1.433992257014438e-03 2.884321865869005e-04 8.484450743428677e-18)
11                     	topWall	(-4.342202389404295e-03 -6.646914528566827e-05 0.000000000000000e+00)	(-2.967028851919606e-03 -1.230893406151697e-05 0.000000000000000e+00)
12                     	bottomWall	(-1.029928315439672e-02 -4.507284147542976e-03 -5.712851554479375e-17)	(1.437319139551585e-03 3.164060498647602e-04 8.953668073667450e-18)
12                     	topWall	(-4.348240075643826e-03 -6.986321214386723e-05 0.000000000000000e+00)	(-2.967167932422139e-03 -1.371537817389010e-05 0.000000000000000e+00)
13                     	bottomWall	(-1.030554193904077e-02 -4.513187642637894e-03 -5.813030178782073e-17)	(1.440341403456369e-03 3.379620759380110e-04 9.577028759642466e-18)
13                     	topWall	(-4.352453157021216e-03 -7.240580099583851e-05 0.000000000000000e+00)	(-2.967580288237525e-03 -1.503416714653144e-05 0.000000000000000e+00)
14                     	bottomWall	(-1.031405807440040e-02 -4.516274110653834e-03 -5.837311798288859e-17)	(1.443343660581348e-03 3.453353070974343e-04 9.721853849952904e-18)
14                     	topWall	(-4.356297990610258e-03 -7.318103533431913e-05 0.000000000000000e+00)	(-2.969059594688900e-03 -1.555972848112662e-05 0.000000000000000e+00)
15                     	bottomWall	(-1.032474263072210e-02 -4.518718716949054e-03 -5.852121379255497e-17)	(1.445997701491245e-03 3.395890279646702e-04 9.637354892265344e-18)
15                     	topWall	(-4.361301138744804e-03 -7.264132076148353e-05 0.000000000000000e+00)	(-2.971429138550229e-03 -1.538624322059402e-05 0.000000000000000e+00)
16                     	bottomWall	(-1.033834076064678e-02 -4.521499773667548e-03 -5.806451138511883e-17)	(1.448088503831069e-03 3.276916217884003e-04 9.219004273138925e-18)
16                     	topWall	(-4.367760803835695e-03 -7.169340942775460e-05 0.000000000000000e+00)	(-2.973813756567207e-03 -1.492554635036449e-05 0.000000000000000e+00)
17                     	bottomWall	(-1.035580919823634e-02 -4.525738387478073e-03 -5.748320871465602e-17)	(1.450107024535123e-03 3.177666956786392e-04 8.821816061076554e-18)
17                     	topWall	(-4.374739363924180e-03 -7.102262202595131e-05 0.000000000000000e+00)	(-2.975488239200368e-03 -1.452672511785441e-05 0.000000000000000e+00)
18                     	bottomWall	(-1.037660749098326e-02 -4.532059906720398e-03 -5.717564642083484e-17)	(1.452213839749067e-03 3.148476376010051e-04 8.662570646886049e-18)
18                     	topWall	(-4.381047798007918e-03 -7.096574294100685e-05 0.000000000000000e+00)	(-2.976238296933031e-03 -1.434813621268267e-05 0.000000000000000e+00)
19                     	bottomWall	(-1.039862261354007e-02 -4.540390172601387e-03 -5.714670940063184e-17)	(1.454504216439874e-03 3.193938359465063e-04 8.730593562334483e-18)
19                     	topWall	(-4.385801875113068e-03 -7.132018446979353e-05 0.000000000000000e+00)	(-2.976173720742534e-03 -1.437741271323982e-05 0.000000000000000e+00)
20                     	bottomWall	(-1.041874739766475e-02 -4.550314122477481e-03 -5.718976813147008e-17)	(1.456832011087729e-03 3.283870925214092e-04 8.858020113087383e-18)
20                     	topWall	(-4.388704701463153e-03 -7.234791419118004e-05 0.000000000000000e+00)	(-2.975959801724652e-03 -1.451903987604610e-05 0.000000000000000e+00)
21                     	bottomWall	(-1.043543618988589e-02 -4.560176008034818e-03 -5.729119037251793e-17)	(1.458982130599245e-03 3.374839641370555e-04 8.937747416078839e-18)
21                     	topWall	(-4.390493626327084e-03 -7.295091644455318e-05 0.000000000000000e+00)	(-2.976128029923777e-03 -1.467249250696438e-05 0.000000000000000e+00)
22                     	bottomWall	(-1.044996806178495e-02 -4.568588612307503e-03 -5.740168427601760e-17)	(1.461319944582349e-03 3.433712930361575e-04 8.918093557837198e-18)
22                     	topWall	(-4.392094019956955e-03 -7.340874818895101e-05 0.000000000000000e+00)	(-2.976618936783621e-03 -1.476867933402330e-05 0.000000000000000e+00)
23                     	bottomWall	(-1.046450940592679e-02 -4.574919694219837e-03 -5.745644056073609e-17)	(1.463766557378574e-03 3.450498050985231e-04 8.821399201340965e-18)
23                     	topWall	(-4.394272216161973e-03 -7.355874684747903e-05 0.000000000000000e+00)	(-2.977383041423496e-03 -1.478636315619062e-05 0.000000000000000e+00)
24                     	bottomWall	(-1.048135933110216e-02 -4.579496740028988e-03 -5.743518411954313e-17)	(1.466189742242938e-03 3.435677459414845e-04 8.697199723578534e-18)
24                     	topWall	(-4.397225909489886e-03 -7.352147565934965e-05 0.000000000000000e+00)	(-2.977916300080039e-03 -1.474798194637568e-05 0.000000000000000e+00)
25                     	bottomWall	(-1.050075640916824e-02 -4.583449745373634e-03 -5.737032393188307e-17)	(1.468378629828534e-03 3.410898072495403e-04 8.615326874951935e-18)
25                     	topWall	(-4.400637853435870e-03 -7.343303827275839e-05 0.000000000000000e+00)	(-2.977941852814911e-03 -1.469781379191969e-05 0.000000000000000e+00)
26                     	bottomWall	(-1.052213276649703e-02 -4.588141086781147e-03 -5.732032084090598e-17)	(1.470173101533679e-03 3.396346268589888e-04 8.604976367925558e-18)
26                     	topWall	(-4.403873493267114e-03 -7.342664355201440e-05 0.000000000000000e+00)	(-2.977581674412015e-03 -1.467639920052289e-05 0.000000000000000e+00)
27                     	bottomWall	(-1.054369193398846e-02 -4.594069792981841e-03 -5.736091224571700e-17)	(1.471537263947376e-03 3.401830998497500e-04 8.646155080062025e-18)
27                     	topWall	(-4.406424524906177e-03 -7.361598048933007e-05 0.000000000000000e+00)	(-2.977132515280111e-03 -1.469649889009624e-05 0.000000000000000e+00)
28                     	bottomWall	(-1.056435584200616e-02 -4.601114583944112e-03 -5.741078308360128e-17)	(1.472629122776672e-03 3.425784888950866e-04 8.673211685999925e-18)
28                     	topWall	(-4.408234268557341e-03 -7.378714569605524e-05 0.000000000000000e+00)	(-2.976856831045566e-03 -1.474534998315673e-05 0.000000000000000e+00)
29                     	bottomWall	(-1.058365601716996e-02 -4.608451043328561e-03 -5.747148658276096e-17)	(1.473700528242864e-03 3.459188386444123e-04 8.662457559281251e-18)
29                     	topWall	(-4.409522856156234e-03 -7.390692638581513e-05 0.000000000000000e+00)	(-2.976847877569418e-03 -1.478936203847182e-05 0.000000000000000e+00)
30                     	bottomWall	(-1.060186852867524e-02 -4.615446479074777e-03 -5.738544738229830e-17)	(1.474555516004116e-03 3.491634078665114e-04 8.563078542901722e-18)
30                     	topWall	(-4.410548950539220e-03 -7.396209447318112e-05 0.000000000000000e+00)	(-2.977040741645146e-03 -1.480216685467069e-05 0.000000000000000e+00)
31                     	bottomWall	(-1.062010704185498e-02 -4.621638239740406e-03 -5.737245057209682e-17)	(1.475429686564599e-03 3.516084086094681e-04 8.484956528750508e-18)
31                     	topWall	(-4.411726123112527e-03 -7.410603408743722e-05 0.000000000000000e+00)	(-2.977173175145176e-03 -1.477848406227090e-05 0.000000000000000e+00)
32                     	bottomWall	(-1.063903468113765e-02 -4.627059189565899e-03 -5.732564181834493e-17)	(1.476647736479336e-03 3.530965410064607e-04 8.411741486563425e-18)
32                     	topWall	(-4.413228404969014e-03 -7.423139372313197e-05 0.000000000000000e+00)	(-2.977048894240322e-03 -1.473492574067770e-05 0.000000000000000e+00)
33                     	bottomWall	(-1.065872139021089e-02 -4.632182413311318e-03 -5.729030218571754e-17)	(1.477755091011574e-03 3.539247009419241e-04 8.368715016301997e-18)
33                     	topWall	(-4.414934878229237e-03 -7.435550448862420e-05 0.000000000000000e+00)	(-2.976671840689986e-03 -1.469769628692742e-05 0.000000000000000e+00)
